Timestamp	Поділ	Троєщина	Видубичі	Печерськ	Університет	Протасів Яр	Липки	Оболонь	Дарниця	Харківський мас.	Лісовий мас.	Соцмісто	Осокорки	Нивки	Шулявка	Відрадний	Голосіїв	Лук’янівка	Позняки	Борщагівка	Солом’янка	Святошин	Воскресенка	Русанівка	Мінський мас.	Теремки	Вишневе	Ірпінь	Бориспіль	Бровари	ВДНГ	
2020-04-18 23:29:51.429339185	185	403	177	151	184	160	304	196	236	307	248	350	180	187	165	186	158	178	190	163	187	187	251	180	180	157	169	210	249	199	58	
2020-04-18 23:45:00	185	403	177	151	184	160	304	196	236	307	248	350	180	187	165	186	158	178	190	163	187	187	251	180	180	157	169	210	249	199	58	
2020-04-19 07:50:26.425691	157	288	168	82	169	139	174	169	172	279	168	269	137	47	154	166	145	152	191	159	164	58	167	187	155	187	161	182	191	169	76	
2020-04-19 08:00:00	157	288	168	82	169	139	174	169	172	279	168	269	137	47	154	166	145	152	191	159	164	58	167	187	155	187	161	182	191	169	76	
2020-04-19 08:30:00	140	248	162	75	161	122	158	159	170	254	170	286	133	47	138	158	126	123	173	157	154	54	155	183	153	176	153	174	178	167	74	
2020-04-19 09:00:00	140	248	162	75	161	122	158	159	170	254	170	286	133	47	138	158	126	123	173	157	154	54	155	183	153	176	153	174	178	167	74	
2020-04-19 09:30:00	120	215	146	63	140	96	128	163	164	230	162	235	104	160	127	154	103	114	160	156	128	160	126	162	157	160	134	164	166	158	70	
2020-04-19 10:00:00	120	215	146	63	140	96	128	163	164	230	162	235	104	160	127	154	103	114	160	156	128	160	126	162	157	160	134	164	166	158	70	
2020-04-19 10:30:00	112	195	115	66	139	99	191	155	156	163	152	191	90	151	123	152	92	108	144	134	125	151	149	155	135	146	111	151	158	153	67	
2020-04-19 11:00:00	112	195	115	66	139	99	191	155	156	163	152	191	90	151	123	152	92	108	144	134	125	151	149	155	135	146	111	151	158	153	67	
2020-04-19 11:30:00	87	170	91	57	110	88	120	115	131	152	110	169	72	109	94	129	80	87	142	102	105	109	74	115	95	111	89	115	151	115	58	
2020-04-19 12:00:00	87	170	91	57	110	88	120	115	131	152	110	169	72	109	94	129	80	87	142	102	105	109	74	115	95	111	89	115	151	115	58	
2020-04-19 12:30:00	75	156	79	52	89	77	96	88	111	142	87	157	66	79	74	100	75	72	125	76	87	79	67	92	75	92	78	85	133	92	52	
